0;;;;;;;;;;;;
3;-0.0629883;-0.315918;-0.0854492;0.942829;0.00390625;-0.00390625;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;0;-0.015625;0.0273438;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781418;0.0810547;-0.618652;0.00927734;0.164063;0.0390625;0.00390625;0.117188;-0.996094;-0.125;-0.207031;0.417969;0.0078125
0.155;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0.00390625;0;0;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0444336;-0.320313;0.0458984;0.945156;0.00390625;-0.0078125;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.315918;-0.0859375;0.942785;0.0078125;0;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;0;-0.0078125;0.0195313;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781753;0.081543;-0.618164;0.00927734;0.0820313;0.0390625;0.0195313;0.117188;-0.996094;-0.125;-0.207031;0.417969;0.0078125
0.184;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;0;0;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0.00390625;-0.0117188;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0625;-0.315918;-0.0839844;0.942993;0;0;0;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;0.0078125;-0.0117188;0;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.782127;0.081543;-0.617676;0.0102539;0.0976563;0.136719;0.0078125;0.113281;-0.996094;-0.125;-0.207031;0.417969;0.0078125
0.189;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;0;0;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0.00390625;-0.0117188;0.0117188;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0625;-0.31543;-0.0844727;0.943113;0;0;0;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;0.0117188;-0.015625;-0.0078125;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.782512;0.081543;-0.617188;0.0102539;0.09375;0.0625;0.0078125;0.117188;-0.996094;-0.121094;-0.207031;0.417969;0.0078125
0.201;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;0;0;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0.00390625;-0.00390625;0.0078125;0.0585938;0.980469;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.31543;-0.0859375;0.942948;0;0;0;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.00390625;-0.015625;0.03125;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.782903;0.081543;-0.616699;0.00976563;0;-0.015625;0.0664063;0.125;-1;-0.105469;-0.203125;0.417969;0.0078125
0.213;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;0;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0.00390625;-0.0078125;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.31543;-0.0859375;0.942948;0.0078125;-0.00390625;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.0078125;-0.0078125;0.0351563;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.782971;0.0810547;-0.616699;0.00830078;-0.226563;-0.0429688;0.0742188;0.117188;-1.00781;-0.0820313;-0.203125;0.417969;0.00390625
0.225;;;;;;;;;;;;
1;0.208984;0.594238;0.145996;0.762818;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0;-0.00390625;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.31543;-0.0859375;0.942948;0.0117188;-0.00390625;0.0117188;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.00390625;-0.0078125;0.03125;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.783021;0.0805664;-0.616699;0.00830078;-0.484375;-0.0664063;0.0546875;0.117188;-1.00781;-0.078125;-0.203125;0.417969;0.00390625
0.235;;;;;;;;;;;;
1;0.208984;0.594238;0.145996;0.762818;0.00390625;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320313;0.0458984;0.945178;0;-0.0117188;0.0078125;0.0585938;0.980469;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.314941;-0.0859375;0.943111;0.00390625;0;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.0078125;-0.0078125;0.03125;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.78301;0.0805664;-0.616699;0.00927734;-0.621094;-0.0664063;0.0820313;0.117188;-1.00781;-0.078125;-0.203125;0.417969;0.00390625
0.264;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;0;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320801;0.0458984;0.945013;0;-0.0117188;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.314941;-0.0859375;0.943111;-0.00390625;0;0;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;0;-0.015625;0.0195313;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.782992;0.0805664;-0.616699;0.0107422;-0.320313;0.0351563;0.078125;0.113281;-1.01172;-0.0898438;-0.203125;0.417969;0.00390625
0.271;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0.00390625;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0444336;-0.320801;0.0478516;0.944893;0;-0.00390625;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.314941;-0.0859375;0.943111;0.0117188;0;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.4375;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.00390625;-0.00390625;0.0234375;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
