0;;;;;;;;;;;;
1;-0.294434;-0.832094;0.444824;-0.151855;0.167969;0.109375;-0.117188;0.316406;0.40625;-0.761719;-0.292969;-0.371094;0.289063
2;0.540177;0.504883;-0.422852;0.523926;0.015625;-0.0390625;-0.457031;0.117188;0.0546875;-0.925781;-0.257813;0.0078125;0.453125
3;0.367676;0.423828;-0.571289;0.59901;-0.101563;0.0195313;-0.226563;-0.355469;0.105469;-0.882813;-0.03125;-0.0351563;0.515625
4;-0.262207;-0.662827;0.527344;-0.462402;-0.0195313;0.0625;-0.1875;-0.09375;0.308594;-0.917969;-0.152344;-0.464844;0.949219
5;0.64769;0.479004;-0.560059;-0.193359;0.15625;-0.078125;-0.0859375;0.84375;-0.394531;-0.308594;-0.507813;0.0859375;0.0625
0.103;;;;;;;;;;;;
1;-0.293457;-0.832355;0.445313;-0.150879;0.15625;0.125;-0.113281;0.316406;0.40625;-0.761719;-0.292969;-0.371094;0.289063
2;0.539001;0.506836;-0.423828;0.522461;0.0117188;-0.0625;-0.429688;0.113281;0.0546875;-0.933594;-0.257813;0.00390625;0.453125
3;0.366211;0.425293;-0.571289;0.598869;-0.101563;0.0390625;-0.183594;-0.375;0.101563;-0.914063;-0.03125;-0.0390625;0.515625
4;-0.263672;-0.664428;0.525879;-0.460938;-0.00390625;0.0898438;-0.148438;-0.0976563;0.3125;-0.960938;-0.152344;-0.460938;0.949219
5;0.645948;0.480957;-0.560059;-0.194336;0.128906;-0.0585938;-0.117188;0.878906;-0.410156;-0.3125;-0.507813;0.0820313;0.0625
0.111;;;;;;;;;;;;
1;-0.292969;-0.832704;0.445313;-0.149902;0.144531;0.125;-0.105469;0.316406;0.40625;-0.765625;-0.292969;-0.371094;0.289063
2;0.538258;0.507813;-0.424805;0.521484;0.015625;-0.0859375;-0.375;0.101563;0.0585938;-0.953125;-0.257813;0.00390625;0.453125
3;0.364258;0.42627;-0.569824;0.600759;-0.09375;0.0625;-0.15625;-0.386719;0.101563;-0.957031;-0.03125;-0.0390625;0.511719
4;-0.265137;-0.666304;0.524902;-0.458496;0;0.109375;-0.128906;-0.101563;0.308594;-1;-0.148438;-0.460938;0.949219
5;0.644161;0.483887;-0.559082;-0.195801;0.113281;-0.0625;-0.132813;0.902344;-0.433594;-0.320313;-0.511719;0.0859375;0.0625
0.122;;;;;;;;;;;;
1;-0.291992;-0.832873;0.445801;-0.149414;0.15625;0.117188;-0.101563;0.316406;0.40625;-0.765625;-0.292969;-0.371094;0.289063
