0;;;;;;;;;;;;
2;0.543252;0.475586;-0.433105;0.539551;-0.0117188;0.00390625;0.015625;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.186035;0.518555;-0.722353;0.417969;0.0078125;0;0.0195313;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.209961;0.635737;-0.585938;0.456543;0.015625;-0.0429688;0.0351563;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.697068;0.411621;-0.572754;-0.128906;0.0117188;-0.00390625;0.0273438;0.71875;-0.625;-0.289063;-0.460938;0.183594;0.0820313
0.148;;;;;;;;;;;;
1;0.297363;0.847041;-0.412109;0.155762;0;-0.00390625;0.0078125;0.367188;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543309;0.476074;-0.433105;0.539063;-0.00390625;0.00390625;0.00390625;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.186035;0.518555;-0.722353;0.417969;-0.00390625;-0.0078125;-0.015625;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.209961;0.636088;-0.585938;0.456055;0;-0.0351563;0.0078125;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.697068;0.411621;-0.572754;-0.128906;0.0273438;-0.0234375;0.0273438;0.71875;-0.625;-0.289063;-0.460938;0.183594;0.0820313
0.16;;;;;;;;;;;;
1;0.297363;0.847279;-0.411621;0.155762;0.0078125;-0.00390625;0.00390625;0.367188;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543309;0.476074;-0.433105;0.539063;-0.00390625;0;-0.0117188;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.186035;0.519043;-0.722285;0.41748;-0.0234375;0;-0.0585938;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.209961;0.636438;-0.585938;0.455566;-0.0117188;-0.0117188;-0.0429688;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.696288;0.412109;-0.573242;-0.129395;0.0703125;-0.0664063;-0.0078125;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.174;;;;;;;;;;;;
1;0.297852;0.847197;-0.411621;0.155273;0.00390625;0;0.015625;0.367188;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.542976;0.476563;-0.433594;0.538574;0;-0.0117188;-0.0507813;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.185547;0.519531;-0.722341;0.416992;-0.0390625;-0.00390625;-0.0859375;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.209473;0.636498;-0.586426;0.455078;-0.015625;0;-0.0625;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.696288;0.412109;-0.573242;-0.129395;0.0859375;-0.0742188;-0.0234375;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.186;;;;;;;;;;;;
1;0.297852;0.847434;-0.411133;0.155273;0.00390625;0.00390625;0.00390625;0.367188;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.54307;0.476563;-0.434082;0.538086;0;-0.0195313;-0.0625;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.185059;0.519531;-0.722748;0.416504;-0.0351563;-0.00390625;-0.0703125;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.209473;0.637195;-0.586426;0.454102;-0.015625;0;-0.0625;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.695794;0.412109;-0.57373;-0.129883;0.0859375;-0.0703125;-0.0273438;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.198;;;;;;;;;;;;
1;0.297852;0.847434;-0.411133;0.155273;0.0078125;0.015625;0.00390625;0.367188;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543124;0.477051;-0.434082;0.537598;0.0117188;-0.0273438;-0.0585938;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.185059;0.52002;-0.722397;0.416504;-0.0234375;-0.0078125;-0.046875;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.208984;0.637254;-0.586914;0.453613;-0.00390625;0;-0.0390625;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.6953;0.412109;-0.574219;-0.130371;0.0625;-0.046875;-0.0234375;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.212;;;;;;;;;;;;
1;0.297852;0.847523;-0.411133;0.154785;0.0078125;0.0195313;0.0078125;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543217;0.477051;-0.43457;0.537109;0;-0.0195313;-0.046875;0.046875;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;-0.0195313;-0.00390625;-0.0117188;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.208496;0.637761;-0.586914;0.453125;0;-0.0117188;0.015625;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.6953;0.412109;-0.574219;-0.130371;0.03125;-0.0273438;-0.0117188;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.224;;;;;;;;;;;;
1;0.297852;0.84776;-0.410645;0.154785;0.00390625;0.0195313;0.0078125;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543271;0.477539;-0.43457;0.536621;0;-0.00390625;-0.046875;0.0507813;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;-0.00390625;-0.00390625;0.015625;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.208496;0.637761;-0.586914;0.453125;0.00390625;-0.0273438;0.046875;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.695208;0.412109;-0.574219;-0.130859;-0.0117188;-0.0078125;0.0078125;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.234;;;;;;;;;;;;
1;0.297852;0.84776;-0.410645;0.154785;0.0078125;0.0078125;0.015625;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.542841;0.478027;-0.43457;0.536621;0.0078125;0;-0.03125;0.0507813;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;0;-0.0195313;0.0390625;-0.414063;-0.113281;-0.917969;0.0429688;-0.078125;0.511719
4;0.208496;0.637761;-0.586914;0.453125;0.00390625;-0.03125;0.0625;-0.265625;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.695589;0.411621;-0.574219;-0.130371;-0.0195313;-0.00390625;0.0117188;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.246;;;;;;;;;;;;
1;0.297852;0.84776;-0.410645;0.154785;0.015625;0.00390625;0.0117188;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.542841;0.478027;-0.43457;0.536621;0;0;-0.015625;0.0507813;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;0.0078125;-0.015625;0.0273438;-0.414063;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
4;0.208496;0.637761;-0.586914;0.453125;0;-0.0351563;0.0585938;-0.265625;0.222656;-0.945313;-0.101563;-0.46875;0.960938
5;0.6953;0.412109;-0.574219;-0.130371;-0.0273438;-0.0078125;0.015625;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.257;;;;;;;;;;;;
1;0.297852;0.84776;-0.410645;0.154785;0.0195313;0.00390625;0.0078125;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543323;0.478027;-0.43457;0.536133;0;0;-0.0078125;0.0507813;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;0.0078125;-0.0195313;0.0117188;-0.410156;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
4;0.208496;0.637761;-0.586914;0.453125;0;-0.0507813;0.0585938;-0.265625;0.222656;-0.945313;-0.101563;-0.46875;0.960938
5;0.695589;0.411621;-0.574219;-0.130371;-0.0273438;-0.0234375;0.0390625;0.71875;-0.621094;-0.289063;-0.460938;0.179688;0.0820313
0.27;;;;;;;;;;;;
1;0.29834;0.847588;-0.410645;0.154785;0.0195313;0.00390625;0.015625;0.371094;0.472656;-0.773438;-0.308594;-0.382813;0.265625
2;0.543323;0.478027;-0.43457;0.536133;0;-0.00390625;0;0.0507813;0.03125;-0.992188;-0.242188;0.0195313;0.472656
3;0.18457;0.520508;-0.722452;0.416016;0.0117188;-0.0234375;0.00390625;-0.410156;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
