0;;;;;;;;;;;;
3;-0.0498047;-0.341309;-0.0947266;0.933839;0.00390625;-0.00390625;0.00390625;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291504;0.938926;-0.00390625;-0.015625;0.0273438;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838591;0.0839844;-0.535156;-0.0576172;0.0898438;0;0.0195313;0.207031;-0.996094;0;-0.230469;0.402344;-0.0742188
0.172;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;-0.00390625;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0.00390625;-0.0117188;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.0498047;-0.341309;-0.0947266;0.933839;0.0078125;-0.00390625;0.0117188;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291504;0.938926;-0.00390625;-0.015625;0.0351563;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.83864;0.0834961;-0.535156;-0.0576172;0.0546875;-0.0117188;0.0117188;0.207031;-0.996094;0;-0.230469;0.402344;-0.0742188
0.185;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;0;0;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0.00390625;-0.0117188;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.0498047;-0.341797;-0.0947266;0.93366;0.00390625;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.0117188;-0.015625;0.0390625;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.83864;0.0834961;-0.535156;-0.0576172;0.0195313;-0.0195313;0;0.203125;-0.996094;0;-0.230469;0.402344;-0.0742188
0.196;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.00390625;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0;-0.0117188;0.0117188;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.0498047;-0.341797;-0.0952148;0.93361;0.00390625;-0.00390625;0.00390625;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.00390625;-0.015625;0.0390625;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838624;0.0839844;-0.535156;-0.0571289;-0.0195313;-0.0234375;-0.0078125;0.203125;-0.996094;0;-0.230469;0.402344;-0.0742188
0.226;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.00390625;0;0.0117188;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0.0078125;-0.0117188;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342285;-0.0966797;0.933255;0.00390625;-0.00390625;0.00390625;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.00390625;-0.015625;0.0351563;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838657;0.0839844;-0.535156;-0.0566406;-0.0234375;-0.0273438;-0.0078125;0.203125;-0.996094;0;-0.230469;0.402344;-0.0742188
0.232;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.00390625;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0.0078125;-0.0117188;0.0117188;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342285;-0.0966797;0.933255;0.00390625;-0.00390625;0.0117188;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.0078125;-0.015625;0.0273438;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.838657;0.0839844;-0.535156;-0.0566406;-0.0273438;-0.0234375;-0.00390625;0.203125;-0.996094;0;-0.230469;0.402344;-0.0742188
0.244;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.00390625;-0.00390625;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0;-0.0117188;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342285;-0.0966797;0.933255;0.00390625;0;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;-0.00390625;-0.015625;0.03125;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.83869;0.0839844;-0.535156;-0.0561523;-0.0234375;-0.0234375;0.0078125;0.203125;-0.996094;0;-0.230469;0.402344;-0.0742188
0.257;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0.00390625;-0.015625;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.342285;-0.0966797;0.933255;0.00390625;-0.00390625;0.0117188;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.13916;-0.118652;0.291992;0.938774;0;-0.015625;0.03125;0.5625;0.765625;0.183594;-0.316406;-0.804688;0.523438
5;0.83869;0.0839844;-0.535156;-0.0561523;-0.046875;-0.0195313;0.00390625;0.203125;-0.996094;0;-0.230469;0.402344;-0.078125
0.266;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
