0;;;;;;;;;;;;
5;0.722683;0.354492;-0.541016;-0.243652;0.0117188;0.0078125;0;0.769531;-0.625;-0.0273438;-0.457031;0.171875;-0.03125
0.231;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;0.0117188;0.0078125;0.00390625;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.677086;0.29541;-0.271973;0.616699;0.00390625;-0.0234375;0.00390625;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450195;-0.5625;0.574328;0.0195313;-0.00390625;0.0234375;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.214844;0.67439;-0.583008;0.398926;0.015625;-0.0351563;0.0625;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;-0.0390625;0.015625;-0.00390625;0.769531;-0.625;-0.0273438;-0.457031;0.171875;-0.03125
0.236;;;;;;;;;;;;
1;0.334961;0.788601;-0.408691;0.314453;0;0.0117188;0;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.677086;0.29541;-0.271973;0.616699;0.0078125;-0.015625;0.00390625;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450195;-0.562012;0.574805;0.0234375;-0.00390625;0.0234375;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674235;-0.583008;0.398926;0.0117188;-0.0351563;0.0664063;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;-0.0429688;0.0117188;0.0078125;0.769531;-0.625;-0.0273438;-0.457031;0.171875;-0.03125
0.249;;;;;;;;;;;;
1;0.334961;0.788601;-0.408691;0.314453;-0.00390625;0.0117188;-0.00390625;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.677086;0.29541;-0.271973;0.616699;0.0117188;-0.0117188;0;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450195;-0.562012;0.574805;0.0234375;0;0.0195313;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674235;-0.583008;0.398926;0.0078125;-0.0429688;0.0429688;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;-0.0117188;0.015625;0.0351563;0.773438;-0.625;-0.03125;-0.457031;0.171875;-0.03125
0.26;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;0;0.0078125;0;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.676873;0.295898;-0.271973;0.616699;0.0195313;-0.00390625;-0.0078125;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450195;-0.562012;0.574805;0.0234375;-0.00390625;0.0078125;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674235;-0.583008;0.398926;0.0117188;-0.0429688;0.0195313;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;0.015625;0.00390625;0.0273438;0.773438;-0.625;-0.03125;-0.457031;0.171875;-0.03125
0.272;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;0;0.0195313;0.00390625;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.676873;0.295898;-0.271973;0.616699;0.0195313;-0.0078125;-0.015625;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450195;-0.562012;0.574805;0.0234375;-0.00390625;0.00390625;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674235;-0.583008;0.398926;0.0117188;-0.0390625;0.015625;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;0.0195313;0;0.015625;0.773438;-0.625;-0.03125;-0.457031;0.167969;-0.03125
0.286;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;-0.00390625;0.0234375;0.0078125;0.265625;0.429688;-0.839844;-0.296875;-0.304688;0.3125
2;0.677318;0.295898;-0.271973;0.616211;0.0195313;0;-0.0117188;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450684;-0.562012;0.574423;0.0273438;0.00390625;0.00390625;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674523;-0.583008;0.398438;0.015625;-0.0351563;0.015625;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722809;0.35498;-0.540527;-0.243652;0.015625;0;0.015625;0.773438;-0.621094;-0.03125;-0.457031;0.167969;-0.03125
0.315;;;;;;;;;;;;
1;0.334961;0.788542;-0.40918;0.313965;-0.00390625;0.0195313;0.0234375;0.265625;0.429688;-0.839844;-0.296875;-0.308594;0.3125
2;0.677121;0.295898;-0.272461;0.616211;0.015625;0.00390625;-0.015625;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450684;-0.561523;0.5749;0.0195313;0.015625;0.0195313;-0.296875;0.0625;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674811;-0.583008;0.397949;0.0273438;-0.0273438;0.0351563;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722404;0.355469;-0.540527;-0.244141;0.00390625;0.015625;0;0.773438;-0.621094;-0.03125;-0.457031;0.167969;-0.03125
0.322;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;-0.015625;0.0117188;0.0195313;0.265625;0.429688;-0.839844;-0.296875;-0.308594;0.3125
2;0.676908;0.296387;-0.272461;0.616211;0.0117188;0.0078125;0;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450684;-0.561523;0.5749;0.015625;0.0234375;0.0390625;-0.296875;0.0664063;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.215332;0.674811;-0.583008;0.397949;0.0273438;-0.015625;0.0625;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.722163;0.355957;-0.540527;-0.244141;-0.0234375;0.015625;-0.015625;0.773438;-0.621094;-0.03125;-0.457031;0.167969;-0.03125
0.333;;;;;;;;;;;;
1;0.334473;0.788808;-0.408691;0.314453;-0.0429688;0.0351563;0.015625;0.265625;0.429688;-0.839844;-0.296875;-0.308594;0.3125
2;0.676925;0.295898;-0.272949;0.616211;0.0078125;0.00390625;0;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388672;0.450684;-0.561523;0.5749;0.0429688;0.03125;0.113281;-0.296875;0.0703125;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.21582;0.675077;-0.58252;0.397949;0.0351563;-0.0234375;0.109375;-0.171875;0.226563;-0.964844;-0.113281;-0.441406;0.925781
5;0.721923;0.356445;-0.540527;-0.244141;-0.0625;0.0078125;-0.015625;0.773438;-0.621094;-0.03125;-0.457031;0.167969;-0.03125
0.343;;;;;;;;;;;;
1;0.334961;0.788348;-0.40918;0.314453;-0.101563;0.0976563;0.0546875;0.261719;0.425781;-0.835938;-0.296875;-0.304688;0.3125
2;0.676728;0.295898;-0.273438;0.616211;-0.0195313;0.0390625;-0.121094;0.0625;-0.0625;-0.992188;-0.152344;0.140625;0.4375
3;0.388184;0.451172;-0.560059;0.576274;0.0585938;0.0117188;0.167969;-0.300781;0.078125;-0.960938;-0.0390625;-0.0429688;0.496094
4;0.21582;0.675631;-0.581543;0.398438;0.0820313;-0.0625;0.160156;-0.167969;0.253906;-0.960938;-0.113281;-0.441406;0.925781
5;0.722453;0.356445;-0.540039;-0.243652;-0.0898438;0.078125;0;0.777344;-0.625;-0.0390625;-0.457031;0.167969;-0.03125
0.355;;;;;;;;;;;;
1;0.335449;0.787887;-0.409668;0.314453;-0.0742188;0.105469;0.144531;0.257813;0.421875;-0.835938;-0.296875;-0.304688;0.3125
2;0.676514;0.296387;-0.273438;0.616211;-0.0117188;0.105469;-0.1875;0.0625;-0.0585938;-0.972656;-0.152344;0.144531;0.4375
