0;;;;;;;;;;;;
2;0.597007;0.432129;-0.358887;0.572754;0.0234375;0.00390625;0;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.197266;0.524414;-0.709897;0.426758;0;0.0078125;0.0625;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.62851;-0.619629;0.429199;0.015625;0;0.09375;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.964844
5;0.702232;0.376465;-0.563477;-0.218262;-0.0117188;0.00390625;-0.0117188;0.769531;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.127;;;;;;;;;;;;
1;0.336914;0.857411;-0.34375;0.182129;0;0;0.03125;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596654;0.432617;-0.358887;0.572754;0.0117188;0.015625;0.0507813;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.197754;0.524414;-0.709761;0.426758;-0.00390625;0.015625;0.0585938;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.192383;0.628694;-0.619629;0.428711;0.0195313;-0.00390625;0.078125;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.964844
5;0.702232;0.376465;-0.563477;-0.218262;0;0;0;0.769531;-0.617188;-0.113281;-0.460938;0.160156;0.00390625
0.138;;;;;;;;;;;;
1;0.336914;0.857411;-0.34375;0.182129;-0.0078125;0;0.0195313;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596654;0.432617;-0.358887;0.572754;0.0117188;0.0234375;0.0625;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.197754;0.524902;-0.7094;0.426758;-0.00390625;0.0195313;0.0507813;-0.398438;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.628361;-0.620117;0.428711;0.0195313;0;0.0742188;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.964844
5;0.70208;0.376465;-0.563477;-0.21875;-0.0078125;0;-0.00390625;0.769531;-0.617188;-0.113281;-0.460938;0.160156;0.00390625
0.169;;;;;;;;;;;;
1;0.336914;0.857515;-0.34375;0.181641;-0.0117188;0.0117188;0.0273438;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596947;0.432617;-0.358398;0.572754;0.0195313;0;0.0390625;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.198242;0.524902;-0.709558;0.42627;-0.0078125;0.0234375;0.0507813;-0.398438;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.628694;-0.620117;0.428223;0.015625;-0.0117188;0.0976563;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.960938
5;0.702472;0.376465;-0.562988;-0.21875;-0.03125;-0.0078125;-0.00390625;0.769531;-0.613281;-0.113281;-0.460938;0.160156;0.00390625
0.175;;;;;;;;;;;;
1;0.336914;0.85771;-0.343262;0.181641;-0.015625;0.0117188;0.0273438;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596947;0.432617;-0.358398;0.572754;0.015625;0.00390625;0.0742188;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.198242;0.524902;-0.709558;0.42627;0;0.0273438;0.0507813;-0.398438;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.192383;0.628545;-0.620117;0.428223;0.0195313;-0.0078125;0.0898438;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.960938
5;0.702863;0.376465;-0.5625;-0.21875;0.00390625;0.00390625;-0.015625;0.769531;-0.613281;-0.113281;-0.460938;0.160156;0.00390625
0.189;;;;;;;;;;;;
1;0.336914;0.85771;-0.343262;0.181641;-0.015625;0.0117188;0.0351563;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596947;0.432617;-0.358398;0.572754;0.00390625;0;0.0664063;0.101563;0.0273438;-0.988281;-0.246094;0.0625;0.457031
3;0.19873;0.524902;-0.709421;0.42627;0;0.0273438;0.0585938;-0.398438;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.628545;-0.620605;0.427734;0.046875;-0.00390625;0.0625;-0.289063;0.152344;-0.953125;-0.0976563;-0.449219;0.960938
