0;;;;;;;;;;;;
3;-0.321289;-0.109863;0.148438;0.9288;0.00390625;-0.00390625;0.0117188;0.339844;0.734375;0.550781;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.0507813;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0078125;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.157;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0078125;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.160645;0.0698242;0.983705;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0.00390625;-0.00390625;0.0078125;0.339844;0.734375;0.550781;-0.128906;-0.441406;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0117188;0.015625;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.168;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.00390625;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.160645;0.0698242;0.983685;0;-0.015625;0.0195313;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0;-0.00390625;0.0078125;0.339844;0.734375;0.550781;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.0507813;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0078125;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.191;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.00390625;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.160645;0.0693359;0.983719;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0.00390625;-0.00390625;0.015625;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.0390625;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.203;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.160645;0.0698242;0.983705;0;-0.0117188;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0;-0.0078125;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.217;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0117188;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0683594;0.983728;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0.00390625;0;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0117188;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.23;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;0;-0.015625;0.0117188;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0.00390625;-0.00390625;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.015625;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.239;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109863;0.148438;0.9288;0.0078125;-0.00390625;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.0390625;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.251;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;-0.00390625;0.015625;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0117188;0.015625;-0.00390625;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.264;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.0078125;0.0117188;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;0;-0.0117188;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;0;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;-0.00390625;-0.00390625;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.275;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.0078125;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;-0.00390625;-0.0117188;0.0078125;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.00390625;0;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.457031;0.856981;0;-0.015625;0.0507813;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.285;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0117188;0.0117188;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;-0.00390625;-0.0117188;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;-0.00390625;0.015625;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.109375
4;-0.160645;-0.175781;0.457031;0.856981;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0078125;0.0078125;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.297;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0683594;0.983728;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.00390625;-0.00390625;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.109375
4;-0.160645;-0.175781;0.457031;0.856981;-0.00390625;-0.0195313;0.0390625;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662702;0.280273;0;-0.0117188;0.0078125;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.332;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.161621;0.0693359;0.983559;-0.00390625;-0.0117188;0.0117188;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.00390625;0;0.0078125;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.175781;0.457031;0.856981;-0.3125;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.00390625;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.343;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.00390625;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.162109;0.0678711;0.983601;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;-0.00390625;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.161133;-0.17627;0.456543;0.857049;0;-0.0234375;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.355;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.162109;0.0683594;0.983568;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.0078125;-0.00390625;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.161133;-0.17627;0.457031;0.856789;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0.00390625;-0.0078125;0.0078125;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.365;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0078125;0.0117188;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.162109;0.0678711;0.983601;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;-0.00390625;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.17627;0.457031;0.856881;-0.00390625;-0.015625;0.0507813;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.00390625;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.376;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.162598;0.0683594;0.983487;-0.00390625;-0.0117188;0.0078125;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0;-0.00390625;0.015625;0.339844;0.734375;0.550781;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.17627;0.457031;0.856881;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0078125;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.387;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0078125;0.00390625;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.162598;0.0683594;0.983487;0;-0.0117188;0.0117188;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148926;0.92878;0;0;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.105469
4;-0.160645;-0.17627;0.457031;0.856881;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0078125;0.0078125;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.417;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.00390625;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.163086;0.0698242;0.983303;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148926;0.92878;0;-0.00390625;0.0078125;0.339844;0.734375;0.550781;-0.128906;-0.4375;-0.109375
4;-0.160645;-0.17627;0.457031;0.856881;0;-0.0234375;0.0507813;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0117188;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.423;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.0078125;0.00390625;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0415039;-0.163086;0.0693359;0.983297;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148926;0.92878;0.00390625;-0.00390625;0.0117188;0.339844;0.734375;0.554688;-0.128906;-0.4375;-0.109375
4;-0.160645;-0.175781;0.457031;0.856981;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0117188;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.437;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0117188;-0.0117188;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.163086;0.0698242;0.983303;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.00390625;0;0.0117188;0.339844;0.734375;0.550781;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.015625;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.446;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.00390625;0.00390625;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0415039;-0.163574;0.0693359;0.983216;0;-0.0117188;0.0117188;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.0078125;-0.00390625;0.0117188;0.339844;0.734375;0.550781;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0234375;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.458;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0117188;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.163574;0.0698242;0.983222;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.00390625;-0.00390625;0.0195313;0.339844;0.734375;0.550781;-0.132813;-0.4375;-0.109375
4;-0.160156;-0.175293;0.457031;0.857173;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0117188;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.47;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.0117188;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.163574;0.0698242;0.983202;-0.00390625;-0.0117188;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.00390625;-0.0078125;0.0117188;0.339844;0.734375;0.550781;-0.132813;-0.4375;-0.109375
4;-0.160156;-0.175781;0.456543;0.857333;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.302734;0.625;0.662495;0.280762;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.505;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0400391;-0.163574;0.0678711;0.983379;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.00390625;-0.00390625;0.0078125;0.339844;0.734375;0.550781;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.303223;0.625;0.662272;0.280762;0;-0.00390625;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.517;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.0078125;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0400391;-0.163574;0.0678711;0.983379;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108887;0.148926;0.928837;0.0078125;-0.00390625;0.015625;0.339844;0.734375;0.554688;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0.00390625;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.303223;0.625;0.662272;0.280762;0;-0.0078125;0.015625;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.53;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.00390625;-0.00390625;0.0117188;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0400391;-0.164063;0.0678711;0.983297;-0.00390625;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108398;0.148926;0.928894;0.00390625;0;0.0117188;0.339844;0.734375;0.554688;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
5;-0.303223;0.625;0.662272;0.280762;0;-0.0078125;0.0078125;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.542;;;;;;;;;;;;
1;0.794186;0.27002;-0.486328;0.244629;0.0078125;-0.00390625;0.0078125;0.1875;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0400391;-0.164063;0.0678711;0.983297;0;-0.015625;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.108398;0.148926;0.928894;0;-0.00390625;0.0117188;0.339844;0.734375;0.554688;-0.132813;-0.4375;-0.109375
4;-0.160645;-0.175781;0.456543;0.857241;0;-0.0195313;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.574219
