0;;;;;;;;;;;;
1;-0.811398;-0.298828;0.494141;0.090332;-0.00390625;0;0.015625;0.570313;-0.800781;-0.144531;-0.414063;0.300781;-0.0195313
2;0.0522461;-0.145508;0.186523;0.97021;0;-0.015625;0.0117188;0.339844;0.914063;-0.152344;-0.125;-0.460938;0.234375
3;-0.188965;-0.314941;0.135742;0.920151;0.00390625;-0.0078125;0.015625;0.359375;0.871094;0.253906;-0.078125;-0.476563;0
4;0.0429688;-0.285645;0.358887;0.887559;-0.00390625;-0.0234375;0.0507813;0.597656;0.71875;-0.273438;-0.265625;-0.757813;0.730469
5;0.834518;0.228027;0.501465;0.0107422;0;-0.0078125;0.015625;0.394531;-0.898438;0.210938;-0.03125;0.457031;-0.183594
0.015;;;;;;;;;;;;
1;-0.811398;-0.298828;0.494141;0.090332;0;0;0.015625;0.570313;-0.800781;-0.144531;-0.414063;0.300781;-0.0195313
2;0.0522461;-0.145508;0.186523;0.97021;0;-0.015625;0.0117188;0.339844;0.914063;-0.152344;-0.125;-0.460938;0.234375
3;-0.188965;-0.314941;0.135742;0.920151;0;-0.00390625;0.015625;0.359375;0.871094;0.253906;-0.078125;-0.476563;0
4;0.0429688;-0.285645;0.358887;0.887559;0;-0.0234375;0.0507813;0.597656;0.71875;-0.273438;-0.265625;-0.757813;0.730469
5;0.834518;0.228027;0.501465;0.0107422;0;-0.0117188;0.0117188;0.390625;-0.898438;0.210938;-0.03125;0.457031;-0.183594
0.027;;;;;;;;;;;;
1;-0.811398;-0.298828;0.494141;0.090332;0;0;0.015625;0.570313;-0.800781;-0.144531;-0.414063;0.300781;-0.0195313
2;0.0517578;-0.145508;0.185059;0.970516;0;-0.0195313;0.0234375;0.339844;0.914063;-0.152344;-0.125;-0.460938;0.234375
3;-0.188965;-0.314941;0.135742;0.920151;0;-0.0078125;0.0117188;0.359375;0.871094;0.253906;-0.078125;-0.476563;0
4;0.0429688;-0.285645;0.358887;0.887559;0.00390625;-0.0234375;0.0585938;0.597656;0.71875;-0.273438;-0.265625;-0.757813;0.730469
5;0.834518;0.228027;0.501465;0.0107422;0;-0.0078125;0.0117188;0.390625;-0.898438;0.210938;-0.03125;0.457031;-0.183594
0.038;;;;;;;;;;;;
1;-0.811398;-0.298828;0.494141;0.090332;-0.00390625;0;0.0117188;0.570313;-0.800781;-0.144531;-0.414063;0.300781;-0.0195313
2;0.0517578;-0.145508;0.185059;0.970516;0;-0.015625;0.0234375;0.339844;0.914063;-0.152344;-0.125;-0.460938;0.234375
3;-0.188965;-0.314941;0.135742;0.920151;0.00390625;-0.0078125;0.0078125;0.359375;0.871094;0.253906;-0.078125;-0.476563;0
4;0.0429688;-0.285645;0.358887;0.887559;-0.00390625;-0.0273438;0.0546875;0.597656;0.71875;-0.273438;-0.265625;-0.757813;0.730469
5;0.834518;0.228027;0.501465;0.0107422;0;-0.0117188;0.015625;0.390625;-0.898438;0.210938;-0.03125;0.457031;-0.183594
0.048;;;;;;;;;;;;
1;-0.811101;-0.298828;0.494629;0.090332;-0.00390625;-0.00390625;0.015625;0.570313;-0.800781;-0.144531;-0.414063;0.300781;-0.0195313
2;0.0517578;-0.145508;0.185059;0.970516;-0.00390625;-0.015625;0.0195313;0.339844;0.914063;-0.152344;-0.125;-0.460938;0.234375
3;-0.188965;-0.314941;0.135742;0.920151;0.00390625;-0.00390625;0.015625;0.359375;0.871094;0.253906;-0.078125;-0.476563;0
4;0.0429688;-0.285645;0.358887;0.887559;0;-0.0273438;0.0546875;0.597656;0.71875;-0.273438;-0.265625;-0.757813;0.730469
5;0.834518;0.228027;0.501465;0.0107422;0;-0.015625;0.015625;0.390625;-0.898438;0.210938;-0.03125;0.457031;-0.183594
0.061;;;;;;;;;;;;
